gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,TechSupport,MultipleLines,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,46,DSL,Yes,No,Yes,Yes,Two year,No,Mailed check,79.2,3593.8,No
Female,0,Yes,No,58,DSL,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),61.05,3478.75,No
Male,0,No,No,3,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),85.7,256.75,No
Male,0,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Two year,No,Electronic check,85.25,5538.35,No
Male,0,Yes,No,15,,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),19.45,340.85,No
Female,0,No,No,3,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,194.2,No
Female,0,No,Yes,9,DSL,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,No
Male,0,Yes,Yes,17,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.0,1149.65,Yes
Male,0,No,No,20,DSL,Yes,No,No,No,Month-to-month,No,Credit card (automatic),64.4,1398.6,No
Female,0,Yes,Yes,70,No,No internet service,No internet service,Yes,No internet service,Month-to-month ,No,Bank transfer (automatic),24.7,1685.9,No
Female,0,Yes,Yes,3,DSL,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),58.7,168.6,No
Female,0,No,No,11,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,90.15,987.95,Yes
Female,1,No,No,45,DSL,No,No,No phone service,No,One year,No,Electronic check,34.2,1596.6,No
Male,0,No,No,2,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,92.75,No
Male,0,Yes,No,64,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.1,4818.8,No
Male,0,Yes,Yes,63,No,No internet service,No internet service,Yes,No internet service,Two year,No,Credit card (automatic),24.65,1574.5,No
Female,0, no,Yes,62,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.15,6638.35,No
Female,0,Yes,Yes,70,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.6,5460.2,No
Female,1,No,No,20,Fiber optic,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),80.7,1614.2,No
Female,0,Yes,Yes,45,DSL,Yes,Yes,No,Yes,Two year,Yes,Mailed check,81.0,3533.6,No
Female,0,Yes,Yes,69,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,No
Female,0,No,No,28,DSL,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.55,1646.45,No
Female,0,No,No,36,DSL,Yes,Yes,No,No,One year,Yes,Mailed check,75.55,2680.15,No
Male,1,No,No,16,,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.6,1281.0,Yes
Female,0,Yes,No,34,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.65,3207.55,Yes
Female,0,Yes,No,71,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),24.65,1710.15,No
Male,0,Yes,No,66,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.0,7133.25,Yes
Male,0,Yes,Yes,64,DSL,Yes,No,No,Yes,One year,Yes,Credit card (automatic),73.05,4688.65,No
Male,0,Yes,No,10,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.95,857.2,Yes
Female,0,No,No,9,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,19.5,178.85,No
Male,0,No,No,10,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,70.15,735.5,No
Female,0,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.0,6474.4,No
Male,0,No,No,54,Fiber optic,Yes,Yes,No,No,One year,No,Electronic check,84.4,4484.05,No
Female,0,No,No,70,DSL,Yes,Yes,No phone service,No,Two year,Yes,Bank transfer (automatic),44.6,3058.15,No
Female,0,No,No,1,DSL,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),49.95,49.95,Yes
Male,0,Yes,Yes,72,No,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),24.3,1643.25,No
Female,0,Yes,Yes,72,DSL,Yes,No,No,No,Two year,No,Credit card (automatic),68.75,4888.2,No
Female,0,No,No,24,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.35,1938.05,No
Female,1,No,No,4,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,Yes
Male,1,No,No,29,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.45,2948.6,No
Female,0,Yes,No,60,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,5985.75,No
Male,1,No,No,9,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),84.4,732.5,Yes
Male,0,Yes,No,15,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.1,1504.05,Yes
Female,1,YES,No,58,Fiber optic,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.8,5458.8,No
Male,0,No,No,31,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.5,2979.2,No
Female,0,Yes,No,36,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),106.05,3834.4,No
Male,0,No,No,62,Fiber optic,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),92.3,5731.45,No
Male,0,No,No,37,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic) ,98.8,3475.55,Yes
Male,0,Yes,Yes,45,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.95,4456.65,No
Male,0,No,No,39,DSL,No,Yes,No phone service,No,One year,No,Mailed check,35.55,1309.15,No
Male,0,Yes,Yes,72,DSL,Yes,Yes,No phone service,Yes,Two year,Yes,Credit card (automatic),65.1,4754.3,No
Female,1,No,No,13,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.85,1235.55,No
Female,1,Yes,No,71,Fiber optic,No,No,No,Yes,Two year,Yes,Electronic check,99.2,7213.75,No
Female,0,Yes,Yes,52,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),98.15,4993.4,No
Female,0,Yes,Yes,51,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.15,4018.55,No
Male,0,No,No,54,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),19.65,1008.7,No
Female,0,Yes,No,3,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,No
Female,0,No,No,63,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.85,7002.95,No
Female,0,Yes,Yes,69,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),19.8,1436.95,No
Male,1,Yes,No,7,DSL,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,64.2,475.0,No
Male,0,Yes,Yes,69,DSL,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),75.75,5388.15,No
Female,0,Yes,Yes,72,DSL,No,Yes,Yes,Yes,Two year,Yes,Electronic check,78.95,5730.15,No
Male,0,Yes,No,30,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,50.0,1474.9,No
Male,0,Yes,Yes,25,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Electronic check,85.9,2199.05,No
Male,0,No,No,22,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,25.25,566.5,No
Female,0,No,No,1,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Electronic check,91.7,91.7,Yes
Female,0,No,No,2,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,20.35,45.3,No
Male,0,No,Yes,39,DSL,Yes,Yes,No phone service,Yes,One year,No,Bank transfer (automatic),45.05,1790.6,No
Male,1,No,No,4,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,69.35,261.65,No
Female,0,No,No,55,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,81.55,4509.5,No
Female,0,Yes,No,10,DSL,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.8,,No
Female,0,Yes,Yes,6,DSL,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),48.95,273.25,No
Female,0,No,Yes,62,No,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),26.0,1638.7,No
Female,0,Yes,Yes,70,DSL,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),80.4,5717.85,No
Male,0,No,No,65,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),19.55,1218.65,No
Male,1,Yes,No,13,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),89.05,1169.35,Yes
Male,0,Yes,Yes,51,DSL,Yes,Yes,No,No,Two year,No,Credit card (automatic),60.5,3121.45,No
Male,0,Yes,Yes,67,Fiber optic,No,No,Yes,No,One year,No,Electronic check,87.4,5918.8,Yes
Male,0,No,No,69,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),81.5,5553.25,No
Female,0,No,No,54,Fiber optic,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.2,5129.45,No
Female,0,Yes,No,9,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,655.9,Yes
Male,0,No,No,11,Fiber optic,No,No,No,No,month-to-month,Yes,Mailed check,75.9,866.4,No
Male,0,Yes,No,68,DSL,Yes,No,No,No,Two year,No,Bank transfer (automatic),70.95,4741.45,No
Female,0,No,No,1,DSL,No,No,No,No,Month-to-month,No,Electronic check,43.8,43.8,No
Male,0,Yes,Yes,63,DSL,Yes,No,No phone service,Yes,Two year,No,Electronic check,59.0,3707.6,No
Female,0,No,No,48,,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),24.35,1133.7,No
Female,0,Yes,No,29,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,19.85,573.05,No
Female,0,No,No,34,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,Yes
Female,0,Yes,Yes,59,DSL,Yes,Yes,Yes,No,One year,No,Mailed check,65.5,3801.3,No
Female,0,Yes,Yes,3,DSL,No,No,No,No,Month-to-month,No,Mailed check,44.3,134.5,Yes
Female,1,Yes,No,65,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.8,7082.45,No
Male,0,Yes,Yes,72,DSL,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),72.1,5016.65,No
Female,0,Yes,No,41,,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),113.6,4594.95,Yes
Male,0,Yes,Yes,6,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,25.4,153.3,No
Male,0,Yes,Yes,23,No,No internet service,No internet service,No,No internet service,Two year,No,Credit card (automatic),19.6,426.65,No
Male,0,Yes,Yes,12,No,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,26.4,314.95,No
Male,0,No,No,3,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.3,264.8,Yes
Male,0,No,No,47,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),20.45,943.0,No
Male,0,No,No,68,DSL,Yes,No,Yes,No,One year,No,Credit card (automatic),76.75,5233.25,No
Female,0,No,No,17,No,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),19.9,323.15,No
Male,0,No,No,3,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,107.95,318.6,No
Female,1,No,No,17,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,1608.15,No
Male,0,No,No,9,DSL,No,No,No phone service,Yes,Month-to-month,Yes,Electronic check,45.4,418.8,Yes
Female,0,Yes,Yes,56,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),19.8,1119.9,No
Male,0,Yes,No,27,DSL,Yes,No,No,No,One year,No,Credit card (automatic),48.7,1421.75,No
Female,1,Yes,No,72,,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),96.6,6827.5,No
Female,0,No,No,12,,No,Yes,No,No,Month-to-month,Yes,Electronic check,54.3,654.5,No
Female,1,No,No,44,DSL,No,Yes,No,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,No
Male,0,Yes,Yes,50,DSL,No,No,Yes,No,One year,No,Bank transfer (automatic),54.9,2614.1,No
Female,1,No,No,41,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,113.2,4689.5,Yes
Female,1,No,No,26,DSL,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.05,1652.4,No
Male,0,Yes,Yes,72,No,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),24.75,1769.6,No
Female,0,Yes,No,23,DSL,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,No
Female,0,Yes,Yes,61,DSL,No,Yes,No phone service,Yes,Two year,No,Credit card (automatic),51.35,3244.4,No
Male,0,No,No,19,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.85,1424.5,Yes
Female,0,No,No,32,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.2,1739.6,No
Male,0,Yes,No,65,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.65,5931.0,No
Male,1,Yes,No,57,DSL,No,No,No phone service,Yes,Month-to-month,Yes,Electronic check,44.85,2572.95,Yes
Female,0,No,No,4,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),25.3,116.95,No
Male,0,Yes,Yes,65,Fiber optic,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),108.65,6937.95,Yes
Male,0,No,No,69,DSL,No,No,No phone service,No,One year,Yes,Bank transfer (automatic),35.75,2492.25,No
Female,0,No,No,1,DSL,No,No,No,No,Month-to-month,No,Electronic check,45.15,45.15,Yes
Female,1,No,No,52,DSL,No,Yes,No phone service,Yes,Month-to-month,Yes,Electronic check,50.5,2566.3,No
Female,0,Yes,Yes,41,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),19.7,804.25,No
Male,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.05,70.05,Yes
Male,0,No,No,27,DSL,Yes,No,No,No,One year,No,Bank transfer (automatic),55.45,1477.65,No
Male,0,Yes,Yes,67,DSL,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),60.4,3953.7,No
Female,1,No,No,1,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.1,45.1,Yes
Male,1,Yes,No,30,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.4,1527.5,Yes
Male,0,Yes,Yes,4,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,19.9,76.65,No
Male,0,No,No,56,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.45,5124.6,Yes
Female,0,No,No,41,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,24.85,962.25,No
Female,0,No,No,3,DSL,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,64.6,174.2,No
Male,0,No,No,24,DSL,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),51.1,1269.6,No
Male,0,Yes,No,22,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.45,471.55,No
Male,0,No,No,3,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,20.5,76.95,No
Male,0,No,No,1,No,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No
Female,0,No,No,51,No,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),19.85,996.95,No
Female,0,Yes,Yes,13,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,19.55,265.3,No
Male,0,No,No,63,DSL,Yes,Yes,Yes,No,One year,No,Electronic check,71.5,,No
Male,0,No,Yes,8,DSL,No,No,No phone service,No,Month-to-month,No,Mailed check,25.5,215.2,Yes
Female,0,No,No,70,,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),90.25,6385.95,No
Female,0,Yes,Yes,20,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.5,1916.2,No
Female,0,Yes,Yes,49,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.4,4613.95,No
Female,0,Yes,Yes,5,DSL,No,Yes,No phone service,No,Month-to-month,No,Electronic check,34.25,163.55,No
Female,0,No,No,60,DSL,Yes,No,No phone service,Yes,Two year,No,Electronic check,53.6,3237.05,No
Female,0,Yes,No,7,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.1,576.65,Yes
Male,0,Yes,Yes,72,DSL,Yes,Yes,No,Yes,Two year,Yes,Electronic check,80.8,5728.55,No
Male,0,Yes,No,27,DSL,Yes,Yes,Yes,Yes,One year,No,Mailed check,80.85,2204.35,No
Female,0,Yes,Yes,14,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),90.9,1259.0,Yes
Female,0,No,No,17,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.55,,No
Female,1,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,69.95,Yes
Male,0,Yes,Yes,67,DSL,Yes,Yes,No,No,Two year,No,Mailed check,67.85,4627.65,No
Female,1,No,No,9,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),75.5,637.4,No
Female,0,Yes,Yes,49,Fiber optic,No,No,Yes,Yes,One year,No,Mailed check,100.45,4941.8,Yes
Male,0,Yes,Yes,13,DSL,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.8,750.1,No
Female,0,No,No,10,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,86.45,830.85,Yes
Male,0,Yes,No,52,DSL,Yes,No,No,Yes,One year,Yes,Mailed check,75.4,3865.45,No
Female,0,No,No,16,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,86.25,1340.1,No
Male,0,No,No,12,Fiber optic,No,No,No,Yes,One year,No,Electronic check,95.7,1184.0,No
Male,1,No,No,71,Fiber optic,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,-999.0,No
Male,0,Yes,No,67,Fiber optic,Yes,No,No,No,One year,Yes,Credit card (automatic),90.6,6056.15,Yes
Female,0,Yes,No,15,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,88.15,1390.6,Yes
Male,1,Yes,No,1,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,74.3,74.3,No
Female,0,Yes,Yes,26,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.8,2361.8,Yes
Male,0,Yes,No,71,DSL,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),90.55,6404.0,No
Female,0,No,Yes,1,DSL,No,No,No phone service,No,Month-to-month,No,Mailed check,24.7,24.7,No
Female,0,No,No,2,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.4,106.55,Yes
Male,0,No,No,72,DSL,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.65,6224.8,No
Male,0,No,Yes,39,No,No internet service,No internet service,No,No internet service,One year,No,Bank transfer (automatic),19.35,779.2,No
Male,1,No,No,56,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,No
Female,0,No,No,14,DSL,No,Yes,No,No,One year,No,Credit card (automatic),59.1,772.85,No
Male,0,Yes,Yes,16,DSL,Yes,No,No,No,One year,Yes,Mailed check,55.85,857.8,No
Female,0,Yes,Yes,23,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,No
Male,0,Yes,No,72,DSL,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),79.55,5810.9,No
Male,0,No,No,9,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.05,811.65,No
Female,0,Yes,No,40,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,No
Female,0,Yes,No,37,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Electronic check,99.2,3754.6,Yes
Female,0,No,No,46,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,No
Female,0,No,No,33,DSL,Yes,Yes,Yes,No,One year,No,Electronic check,59.4,1952.8,No
Female,0,Yes,Yes,72,DSL,Yes,Yes,No phone service,Yes,Two year,No,Bank transfer (automatic),64.45,4528.0,No
Female,0,Yes,Yes,22,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.15,1790.65,No
Female,0,No,No,12,DSL,No,Yes,Yes,Yes,One year,Yes,Mailed check,75.85,854.45,No
Male,0,Yes,Yes,41,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.55,3023.55,No
Female,0,No,No,56,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.6,5893.95,No
Male,1,Yes,No,30,DSL,No,No,Yes,Yes,Two year,No,Electronic check,74.85,2181.75,No
Female,0,No,No,15,No,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),25.05,369.1,No
Male,0,Yes,No,28,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),96.6,2684.35,No
Male,1,Yes,No,7,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,74.4,527.9,Yes
Male,0,Yes,Yes,56,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Electronic check,103.2,5873.75,No
Male,0,No,No,2,DSL,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),50.2,109.25,No
Male,0,Yes,Yes,24,DSL,Yes,No,Yes,No,Month-to-month,No,Electronic check,54.75,1338.15,Yes
Female,1,No,No,1,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.3,91.3,Yes
Male,0,No,No,1,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.5,79.5,Yes
Male,0,Yes,No,66,DSL,No,Yes,Yes,No,Month-to-month,No,Electronic check,63.85,4264.6,No
Female,0,Yes,No,7,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,587.1,Yes
Female,0,No,No,69,Fiber optic,No,Yes,Yes,Yes,Two year,No,Electronic check,104.0,7028.5,No
Female,0,Yes,Yes,66,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.9,5958.85,No
Female,0,Yes,Yes,71,DSL,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),82.0,5999.85,No
Male,1,No,No,20,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,89.95,1648.45,No
Female,0,No,No,28,,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.95,2625.55,Yes
Female,0,Yes,No,69,Fiber optic,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),105.35,7240.65,No
Male,0,No,No,56,DSL,Yes,No,No,No,One year,No,Mailed check,52.7,3019.7,No
Female,0,Yes,No,49,DSL,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.15,2583.75,No
Male,0,No,No,70,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,7711.25,No
Female,1,No,No,40,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,No
Male,0,Yes,No,30,No,No internet service,No internet service,No,No internet service,One year,No,Credit card (automatic),19.8,576.65,No
Male,0,No,No,65,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.15,6941.2,Yes
Female,0,No,No,16,DSL,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.2,1043.35,Yes
Male,1,Yes,Yes,66,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.5,6822.15,Yes
Male,0,No,Yes,3,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,55.9,157.55,No
Female,0,Yes,No,13,DSL,No,No,No phone service,Yes,Month-to-month,Yes,Bank transfer (automatic),48.75,633.4,Yes
Female,0,Yes,Yes,48,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),103.25,5037.55,Yes
Female,0,Yes,Yes,9,DSL,No,Yes,No,Yes,One year,Yes,Mailed check,65.6,593.3,No
Male,0,No,No,72,DSL,Yes,Yes,No phone service,Yes,Two year,Yes,Bank transfer (automatic),63.7,4464.8,No
Female,1,Yes,No,26,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.7,2067.0,No
Male,0,Yes,No,17,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,1214.05,Yes
Male,0,Yes,Yes,72,No,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),19.95,1322.85,No
Female,0,Yes,Yes,48,DSL,Yes,No,No phone service,No,One year,No,Credit card (automatic),45.0,2196.3,No
Female,0,Yes,No,3,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,46.1,130.15,No
Male,0,Yes,Yes,72,Fiber optic,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),90.45,6565.85,No
Female,0,No,No,5,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,84.0,424.75,No
Female,0,Yes,No,55,No,No internet service,No internet service,No,No internet service,One year,No,Electronic check,19.7,1140.05,No
Male,0,Yes,No,14,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.65,1185.0,No
Female,1,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,70.15,Yes
Male,0,No,No,64,Fiber optic,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),99.25,6549.45,No
Male,0,Yes,Yes,71,DSL,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.3,6287.3,No
Female,1,Yes,No,71,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,No
Male,0,No,No,1,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,Yes
Female,0,Yes,No,12,DSL,No,No,No phone service,Yes,Month-to-month,Yes,Bank transfer (automatic),49.85,617.15,No
Female,0,Yes,No,42,DSL,No,Yes,No phone service,No,One year,No,Mailed check,33.55,1445.3,Yes
Female,0,No,No,11,DSL,No,Yes,No,No,One year,No,Bank transfer (automatic),53.8,651.55,No
Male,1,Yes,No,59,Fiber optic,Yes,No,No,No,One year,Yes,Credit card (automatic),82.95,4903.15,No
Male,0,No,No,9,DSL,Yes,Yes,No phone service,No,One year,No,Mailed check,50.8,463.6,No
Male,0,Yes,Yes,32,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),19.45,674.55,No
Male,0,No,No,7,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,490.55,No
Female,1,No,No,14,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,1531.4,Yes
Male,0,Yes,Yes,11,DSL,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.65,683.25,No
Female,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.45,8058.85,No
Female,1,No,No,4,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,74.45,294.45,No
