T,RH,AH,PT08_S1_CO,PT08_S2_NMHC,PT08_S3_NOx,PT08_S4_NO2,PT08_S5_O3,NOx_GT,NO2_GT,CO_GT
25.3,40.7,1.291,1050.0,1011.0,836.0,1739.0,1161.0,96.0,89.0,1.7
24.9,41.2,1.2809,972.0,902.0,933.0,1647.0,878.0,59.0,67.0,1.2
39.6,16.7,1.1867,1287.0,1340.0,699.0,2008.0,1267.0,230.0,194.0,3.5
30.7,32.2,1.3983,1234.0,1257.0,695.0,2019.0,1349.0,212.0,162.0,3.4
28.4,35.7,1.3549,1151.0,1154.0,747.0,1894.0,1186.0,151.0,132.0,2.7
23.7,49.0,1.4152,1360.0,1561.0,545.0,2525.0,1626.0,290.0,139.0,4.8
30.1,34.3,1.4414,1196.0,1208.0,705.0,1981.0,1341.0,234.0,151.0,3.1
40.0,18.8,1.363,1157.0,1105.0,779.0,1792.0,982.0,139.0,139.0,2.4
24.8,37.8,1.1639,807.0,681.0,1092.0,1435.0,765.0,41.0,65.0,0.6
19.8,50.4,1.1525,912.0,858.0,923.0,1608.0,894.0,92.0,69.0,1.0
22.8,42.7,1.1667,1355.0,1526.0,567.0,2397.0,1658.0,333.0,134.0,4.8
24.9,27.2,0.8429,936.0,871.0,990.0,1430.0,921.0,108.0,97.0,1.3
37.0,20.1,1.2423,1062.0,924.0,892.0,1683.0,777.0,69.0,76.0,1.2
26.1,42.2,1.4039,1153.0,1022.0,765.0,1806.0,1013.0,84.0,89.0,1.8
22.3,35.3,0.9371,811.0,622.0,1315.0,1307.0,432.0,52.0,60.0,0.6
22.0,41.7,1.0865,849.0,628.0,1274.0,1379.0,453.0,53.0,56.0,0.8
21.1,46.2,1.1389,973.0,858.0,941.0,1584.0,779.0,137.0,92.0,1.5
30.3,26.9,1.1399,1114.0,1181.0,747.0,1928.0,1129.0,180.0,115.0,2.7
21.3,58.1,1.457,872.0,709.0,1034.0,1522.0,599.0,34.0,51.0,0.8
33.0,26.0,1.2877,1101.0,1057.0,797.0,1772.0,863.0,122.0,113.0,2.3
33.2,23.7,1.1855,1111.0,1086.0,787.0,1802.0,824.0,114.0,107.0,2.6
23.3,43.4,1.2251,1067.0,1106.0,745.0,1840.0,1125.0,143.0,107.0,2.5
20.2,53.8,1.2569,798.0,677.0,1092.0,1473.0,696.0,35.0,44.0,0.5
23.5,48.3,1.3777,886.0,813.0,936.0,1592.0,918.0,63.0,81.0,1.0
37.6,21.1,1.3478,1083.0,1097.0,765.0,1810.0,847.0,117.0,125.0,2.0
37.2,21.6,1.3514,1104.0,1143.0,747.0,1840.0,896.0,133.0,147.0,2.4
21.2,55.0,1.3689,850.0,703.0,1021.0,1511.0,658.0,38.0,54.0,0.6
31.2,32.4,1.4517,1097.0,964.0,822.0,1743.0,853.0,103.0,102.0,1.7
36.1,22.1,1.3004,1060.0,991.0,833.0,1718.0,778.0,72.0,83.0,1.5
,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,72.0,77.0,1.6
-200.0,,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,1.4
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,59.0,67.0,1.2
,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,42.0,59.0,1.0
-200.0,,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,76.0,83.0,2.2
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0,36.0,0.6
18.2,57.6,1.193,809.0,681.0,1108.0,1463.0,609.0,52.0,43.0,0.5
23.3,38.6,1.0919,1221.0,1386.0,626.0,2138.0,1412.0,232.0,109.0,3.7
23.1,41.5,1.1582,1007.0,1027.0,798.0,1737.0,904.0,114.0,112.0,2.1
22.1,44.3,1.1665,758.0,580.0,1215.0,1374.0,531.0,22.0,36.0,0.4
31.7,25.9,1.1883,1196.0,1303.0,654.0,2017.0,1199.0,218.0,139.0,3.6
21.8,47.3,1.2189,809.0,666.0,1093.0,1455.0,714.0,38.0,55.0,0.5
21.7,47.3,1.2135,777.0,609.0,1170.0,1405.0,644.0,-200.0,-200.0,0.3
20.8,50.3,1.2207,768.0,591.0,1183.0,1402.0,606.0,24.0,37.0,-200.0
21.7,46.8,1.2031,768.0,597.0,1155.0,1396.0,606.0,30.0,40.0,0.4
31.3,27.3,1.2234,1250.0,1339.0,616.0,2075.0,1383.0,251.0,152.0,3.9
27.3,35.3,1.2606,1146.0,1084.0,713.0,1829.0,1215.0,159.0,121.0,2.5
22.9,57.7,1.5902,915.0,690.0,983.0,1570.0,743.0,-200.0,-200.0,0.8
22.1,56.2,1.48,893.0,696.0,1008.0,1548.0,801.0,48.0,54.0,0.7
31.9,30.3,1.4125,959.0,763.0,976.0,1561.0,549.0,56.0,58.0,1.2
33.3,23.9,1.2085,1075.0,1020.0,802.0,1732.0,797.0,109.0,103.0,2.1
23.1,47.4,1.3208,833.0,671.0,1061.0,1482.0,705.0,-200.0,-200.0,0.7
21.5,51.8,1.3129,1138.0,1141.0,671.0,1927.0,1197.0,199.0,104.0,2.6
32.9,15.5,0.7649,973.0,1128.0,813.0,1642.0,894.0,170.0,127.0,2.8
25.0,28.7,0.8944,1054.0,1110.0,765.0,1670.0,1167.0,174.0,130.0,2.6
21.2,37.6,0.9355,835.0,739.0,1036.0,1382.0,694.0,47.0,61.0,0.9
21.2,39.4,0.9802,763.0,622.0,1129.0,1321.0,689.0,37.0,58.0,-200.0
23.2,52.3,1.4668,869.0,723.0,975.0,1522.0,789.0,34.0,45.0,0.8
38.9,21.4,1.4605,1089.0,893.0,879.0,1609.0,791.0,90.0,110.0,1.6
34.3,26.0,1.3865,1102.0,990.0,799.0,1685.0,849.0,90.0,103.0,1.7
28.2,36.6,1.3781,1018.0,950.0,830.0,1636.0,914.0,100.0,99.0,1.7
22.8,50.1,1.3677,846.0,662.0,1068.0,1464.0,633.0,-200.0,-200.0,0.5
39.9,20.1,1.4495,1148.0,1037.0,772.0,1720.0,835.0,110.0,130.0,1.8
33.9,26.8,1.3899,1245.0,1287.0,635.0,2067.0,1288.0,167.0,140.0,3.1
25.9,45.1,1.4889,863.0,652.0,1055.0,1504.0,816.0,42.0,54.0,0.5
25.3,47.6,1.5108,956.0,784.0,928.0,1634.0,934.0,57.0,62.0,0.7
30.5,42.3,1.8173,1216.0,1130.0,655.0,1994.0,1246.0,117.0,115.0,2.5
28.2,47.1,1.7752,1276.0,1138.0,628.0,2021.0,1430.0,246.0,134.0,2.9
26.1,45.3,1.5115,1171.0,1093.0,669.0,1862.0,1205.0,117.0,105.0,2.3
25.3,47.6,1.513,1024.0,882.0,791.0,1662.0,1072.0,77.0,87.0,1.5
24.8,50.6,1.5654,993.0,795.0,888.0,1629.0,770.0,60.0,63.0,0.8
35.6,27.2,1.5557,1160.0,1040.0,720.0,1810.0,961.0,122.0,108.0,1.8
38.8,20.7,1.4036,1099.0,1015.0,763.0,1732.0,839.0,125.0,117.0,1.7
24.2,37.3,1.1118,953.0,874.0,854.0,1528.0,899.0,72.0,84.0,1.1
21.8,46.6,1.1991,900.0,750.0,932.0,1494.0,817.0,-200.0,-200.0,0.7
35.3,17.0,0.9561,929.0,869.0,942.0,1454.0,624.0,80.0,89.0,1.2
29.6,37.7,1.544,1025.0,809.0,877.0,1606.0,690.0,56.0,68.0,1.0
21.6,45.7,1.1665,799.0,613.0,1120.0,1387.0,641.0,38.0,43.0,0.4
23.7,37.9,1.0988,1344.0,1496.0,519.0,2311.0,1651.0,287.0,134.0,3.9
26.0,30.1,0.9953,1226.0,1272.0,632.0,1901.0,1474.0,317.0,157.0,3.6
25.4,43.0,1.37,1078.0,971.0,752.0,1694.0,1065.0,107.0,105.0,1.9
25.8,41.0,1.3461,917.0,761.0,931.0,1497.0,893.0,55.0,75.0,0.9
39.9,15.8,1.141,1058.0,1026.0,794.0,1622.0,931.0,165.0,132.0,1.8
40.2,13.9,1.02,1037.0,1075.0,789.0,1604.0,917.0,172.0,151.0,2.0
34.2,17.9,0.9444,1213.0,1327.0,654.0,1864.0,2021.0,251.0,155.0,3.9
30.4,23.2,0.9889,1086.0,1145.0,737.0,1717.0,1426.0,154.0,125.0,2.5
28.8,25.1,0.9793,1056.0,1078.0,765.0,1668.0,1272.0,137.0,108.0,2.1
26.9,32.6,1.1381,1112.0,1128.0,675.0,1771.0,1440.0,117.0,99.0,2.1
29.6,28.7,1.1706,1359.0,1415.0,572.0,2081.0,1902.0,381.0,189.0,4.0
38.3,17.0,1.1216,1117.0,1045.0,761.0,1623.0,1260.0,207.0,154.0,2.0
31.1,29.3,1.3055,1286.0,1214.0,620.0,1880.0,1759.0,168.0,132.0,2.4
24.5,40.4,1.2251,969.0,769.0,866.0,1485.0,1063.0,43.0,60.0,-200.0
34.9,29.3,1.611,1611.0,1552.0,487.0,2371.0,1948.0,317.0,206.0,5.1
32.2,27.6,1.3044,1268.0,1206.0,648.0,1900.0,1434.0,201.0,137.0,2.9
27.7,41.9,1.537,1355.0,1198.0,564.0,1905.0,1714.0,129.0,109.0,2.3
30.5,24.7,1.0592,1036.0,955.0,829.0,1527.0,840.0,166.0,130.0,1.8
32.9,20.1,0.9902,1002.0,964.0,828.0,1546.0,786.0,149.0,137.0,1.7
34.4,19.3,1.0325,1008.0,962.0,845.0,1545.0,742.0,145.0,129.0,1.7
24.8,36.8,1.1357,1036.0,986.0,776.0,1614.0,868.0,113.0,112.0,1.7
22.7,47.7,1.2977,1118.0,1082.0,694.0,1792.0,1080.0,161.0,127.0,2.3
21.7,52.0,1.3313,877.0,711.0,1018.0,1475.0,580.0,41.0,45.0,0.4
31.2,23.4,1.0487,895.0,831.0,946.0,1473.0,566.0,66.0,83.0,0.9
24.7,38.8,1.1929,990.0,866.0,866.0,1551.0,728.0,89.0,94.0,1.3
21.6,47.5,1.2118,925.0,831.0,880.0,1513.0,789.0,71.0,74.0,1.0
20.6,50.6,1.2119,796.0,628.0,1136.0,1385.0,555.0,29.0,36.0,0.3
23.2,43.2,1.2104,1153.0,1042.0,733.0,1700.0,1022.0,184.0,136.0,2.4
20.7,46.4,1.1198,903.0,800.0,911.0,1478.0,751.0,50.0,68.0,0.8
22.7,42.3,1.1491,761.0,540.0,1269.0,1303.0,486.0,-200.0,-200.0,0.1
19.6,54.3,1.2278,1272.0,1328.0,567.0,2085.0,1463.0,333.0,108.0,3.3
23.4,39.4,1.1172,942.0,849.0,907.0,1496.0,894.0,177.0,107.0,1.5
28.5,27.3,1.0479,1024.0,1052.0,779.0,1690.0,952.0,183.0,104.0,2.1
24.8,33.1,1.0222,942.0,912.0,842.0,1551.0,814.0,144.0,106.0,1.6
19.3,51.4,1.1387,854.0,764.0,932.0,1476.0,922.0,88.0,76.0,1.0
18.8,51.1,1.1,723.0,544.0,1274.0,1315.0,584.0,-200.0,-200.0,0.4
19.2,48.8,1.0751,1257.0,1495.0,524.0,2245.0,1647.0,379.0,129.0,5.0
26.4,29.9,1.0138,1064.0,1126.0,711.0,1656.0,1361.0,272.0,139.0,2.8
31.3,19.1,0.8634,1026.0,1094.0,769.0,1629.0,1224.0,278.0,134.0,2.6
23.6,-5.0,0.9685,927.0,930.0,840.0,1522.0,1026.0,108.0,89.0,1.4
22.2,38.4,1.0126,863.0,824.0,905.0,1469.0,925.0,65.0,70.0,0.9
18.8,49.0,1.0505,855.0,762.0,942.0,1444.0,959.0,79.0,73.0,0.8
33.4,17.1,0.8627,932.0,1026.0,851.0,1523.0,944.0,195.0,122.0,1.8
27.8,26.6,0.9748,1084.0,1200.0,686.0,1753.0,1505.0,185.0,159.0,2.9
25.3,30.0,0.9508,951.0,939.0,849.0,1488.0,868.0,96.0,101.0,1.4
21.3,48.4,1.2119,1132.0,1166.0,652.0,1827.0,1229.0,168.0,108.0,2.3
37.1,17.7,1.094,1039.0,1069.0,773.0,1646.0,880.0,138.0,135.0,2.0
24.3,36.3,1.0852,981.0,985.0,779.0,1572.0,1020.0,99.0,97.0,1.7
20.3,46.8,1.1,819.0,677.0,1048.0,1379.0,685.0,56.0,62.0,0.6
20.5,47.7,1.1419,1114.0,1174.0,667.0,1819.0,1188.0,172.0,102.0,2.4
25.7,33.5,1.0918,1090.0,1103.0,695.0,1686.0,1235.0,142.0,119.0,2.2
26.8,32.3,1.1235,920.0,730.0,944.0,1393.0,842.0,43.0,55.0,0.3
25.2,38.6,1.2215,1403.0,1443.0,508.0,2234.0,1811.0,313.0,142.0,3.4
36.8,18.0,1.0945,1195.0,1153.0,678.0,1732.0,1370.0,226.0,159.0,2.1
38.1,18.5,1.2108,1245.0,1181.0,645.0,1747.0,1350.0,184.0,164.0,-200.0
41.3,15.5,1.21,1289.0,1225.0,632.0,1796.0,1274.0,163.0,145.0,-200.0
27.6,38.2,1.3911,1057.0,881.0,784.0,1574.0,1081.0,53.0,67.0,-200.0
27.4,39.1,1.4072,925.0,656.0,967.0,1440.0,917.0,-200.0,-200.0,-200.0
40.1,15.2,1.1065,1018.0,880.0,865.0,1421.0,613.0,67.0,86.0,-200.0
33.3,29.9,1.5079,1301.0,1256.0,593.0,1914.0,1382.0,164.0,144.0,3.4
29.4,38.7,1.5581,1276.0,1135.0,625.0,1887.0,1436.0,143.0,105.0,2.5
24.8,48.5,1.4953,954.0,790.0,826.0,1564.0,1066.0,-200.0,-200.0,0.9
26.6,42.8,1.4675,1367.0,1441.0,470.0,2283.0,1770.0,262.0,120.0,3.8
29.0,37.6,1.4866,1335.0,1340.0,519.0,2141.0,1651.0,236.0,133.0,3.5
27.8,39.9,1.4682,1195.0,1156.0,621.0,1897.0,1346.0,153.0,99.0,2.4
28.0,46.9,1.748,1152.0,976.0,672.0,1800.0,1179.0,111.0,90.0,1.9
38.3,27.1,1.797,1058.0,833.0,804.0,1623.0,626.0,47.0,53.0,1.2
23.8,63.5,1.8495,965.0,692.0,927.0,1549.0,653.0,45.0,52.0,0.9
24.7,56.9,1.739,941.0,687.0,949.0,1530.0,642.0,44.0,52.0,0.7
24.5,56.9,1.7225,851.0,551.0,1224.0,1443.0,463.0,30.0,37.0,0.5
24.9,54.8,1.7063,853.0,557.0,1215.0,1435.0,454.0,24.0,31.0,0.5
31.2,36.3,1.6217,855.0,606.0,1214.0,1403.0,438.0,28.0,37.0,0.7
25.6,46.8,1.5111,822.0,569.0,1204.0,1396.0,429.0,14.0,22.0,-200.0
28.8,38.9,1.5184,993.0,866.0,832.0,1637.0,823.0,111.0,98.0,-200.0
27.7,37.9,1.3842,997.0,898.0,813.0,1613.0,856.0,65.0,97.0,-200.0
26.0,40.6,1.3467,784.0,587.0,1128.0,1392.0,554.0,-200.0,-200.0,-200.0
24.6,45.1,1.3714,1041.0,962.0,728.0,1694.0,936.0,119.0,102.0,-200.0
31.7,25.6,1.179,915.0,828.0,928.0,1474.0,630.0,90.0,87.0,-200.0
32.4,22.4,1.0701,989.0,1004.0,818.0,1577.0,783.0,123.0,119.0,-200.0
22.8,34.7,0.9514,794.0,698.0,999.0,1336.0,767.0,53.0,78.0,-200.0
35.3,16.8,0.9448,1103.0,1232.0,679.0,1732.0,1085.0,-200.0,-200.0,-200.0
29.6,26.1,1.0682,1086.0,1105.0,710.0,1682.0,1109.0,144.0,131.0,-200.0
25.7,30.9,1.0048,797.0,624.0,1074.0,1276.0,546.0,18.0,33.0,-200.0
36.4,16.8,1.0033,998.0,958.0,800.0,1484.0,677.0,96.0,106.0,-200.0
38.6,16.1,1.0853,1062.0,1060.0,725.0,1601.0,830.0,120.0,137.0,-200.0
23.1,52.1,1.4518,907.0,863.0,782.0,1669.0,919.0,-200.0,-200.0,-200.0
23.0,50.9,1.4105,1263.0,1279.0,559.0,2132.0,1388.0,182.0,105.0,-200.0
,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,220.0,158.0,-200.0
23.7,56.5,1.6341,930.0,772.0,854.0,1613.0,728.0,-200.0,-200.0,-200.0
23.8,55.3,1.6068,880.0,704.0,913.0,1529.0,676.0,26.0,37.0,-200.0
25.1,53.9,1.689,971.0,821.0,820.0,1637.0,811.0,28.0,40.0,0.9
32.4,37.3,1.7808,1012.0,804.0,832.0,1638.0,766.0,53.0,48.0,0.9
38.1,18.5,1.2141,824.0,683.0,1119.0,1270.0,393.0,34.0,42.0,0.6
39.7,19.1,1.3646,908.0,748.0,1020.0,1373.0,451.0,69.0,92.0,0.9
27.3,57.1,2.0426,1142.0,945.0,672.0,1775.0,799.0,65.0,68.0,1.9
25.1,62.4,1.9602,910.0,630.0,1061.0,1504.0,468.0,29.0,35.0,0.4
38.0,22.2,1.4483,996.0,959.0,779.0,1636.0,684.0,80.0,117.0,1.4
28.8,43.5,1.6989,1086.0,974.0,707.0,1733.0,795.0,58.0,91.0,1.2
28.0,45.2,1.6832,838.0,559.0,1186.0,1428.0,559.0,-200.0,-200.0,-200.0
32.8,36.9,1.803,1234.0,1154.0,596.0,1965.0,1204.0,211.0,173.0,-200.0
33.7,35.1,1.8022,1173.0,1061.0,650.0,1858.0,940.0,153.0,127.0,-200.0
35.6,30.6,1.7493,1094.0,976.0,719.0,1753.0,869.0,-200.0,-200.0,-200.0
37.9,25.7,1.6651,1056.0,926.0,748.0,1643.0,702.0,-200.0,-200.0,-200.0
25.4,54.6,1.7432,853.0,605.0,1032.0,1488.0,615.0,-200.0,-200.0,-200.0
22.8,63.7,1.7392,957.0,705.0,857.0,1578.0,843.0,-200.0,-200.0,-200.0
31.7,36.7,1.6843,1135.0,1030.0,662.0,1789.0,1104.0,-200.0,-200.0,-200.0
38.3,24.5,1.622,1038.0,906.0,808.0,1567.0,747.0,66.0,86.0,-200.0
25.4,56.2,1.7961,1075.0,996.0,649.0,1838.0,1113.0,115.0,84.0,2.0
36.8,29.5,1.8037,974.0,833.0,864.0,1577.0,565.0,46.0,67.0,1.2
32.2,37.4,1.7655,990.0,912.0,777.0,1648.0,689.0,65.0,86.0,1.6
33.0,37.3,1.8481,877.0,655.0,1061.0,1471.0,444.0,27.0,35.0,0.7
25.8,60.4,1.9759,1001.0,836.0,771.0,1662.0,821.0,49.0,57.0,1.2
27.7,52.5,1.9138,1168.0,1138.0,585.0,1946.0,1336.0,16.0,5.0,2.4
34.2,31.5,1.6675,1019.0,889.0,787.0,1630.0,745.0,54.0,65.0,1.4
28.8,45.9,1.7884,1109.0,965.0,696.0,1742.0,1100.0,59.0,74.0,1.6
27.4,55.0,1.9827,1035.0,859.0,732.0,1680.0,996.0,33.0,49.0,1.0
24.5,61.3,1.8522,1193.0,1139.0,563.0,2009.0,1257.0,143.0,47.0,2.2
40.5,23.3,1.7416,1013.0,864.0,819.0,1544.0,644.0,59.0,75.0,1.1
28.8,52.0,2.0297,1144.0,997.0,669.0,1816.0,1021.0,64.0,63.0,1.8
26.7,60.7,2.0977,991.0,778.0,797.0,1665.0,910.0,29.0,36.0,0.8
38.8,25.4,1.7282,967.0,740.0,926.0,1526.0,557.0,50.0,50.0,1.0
25.6,63.5,2.0566,869.0,614.0,1001.0,1565.0,674.0,-200.0,-200.0,0.6
31.6,35.5,1.6269,933.0,748.0,948.0,1551.0,629.0,51.0,52.0,0.9
29.8,41.8,1.7269,1005.0,868.0,779.0,1633.0,771.0,71.0,85.0,1.4
36.3,18.4,1.0976,746.0,624.0,1227.0,1209.0,410.0,8.0,14.0,0.4
28.4,34.4,1.314,982.0,906.0,784.0,1561.0,1002.0,79.0,91.0,1.6
28.3,36.7,1.3878,877.0,658.0,964.0,1349.0,663.0,25.0,37.0,0.6
25.7,43.8,1.4233,867.0,645.0,1001.0,1385.0,656.0,23.0,36.0,0.5
38.8,19.8,1.3513,1026.0,813.0,843.0,1463.0,692.0,-200.0,-200.0,-200.0
36.4,27.1,1.6226,1023.0,875.0,785.0,1590.0,711.0,83.0,71.0,1.4
31.3,39.5,1.7798,1050.0,921.0,743.0,1683.0,851.0,91.0,70.0,1.6
39.9,23.8,1.7127,1022.0,849.0,813.0,1583.0,732.0,32.0,44.0,1.2
31.6,43.6,1.9944,1101.0,875.0,722.0,1748.0,927.0,65.0,68.0,1.7
27.4,53.5,1.9267,932.0,720.0,859.0,1562.0,605.0,-200.0,-200.0,-200.0
35.5,34.9,1.9841,927.0,698.0,919.0,1537.0,555.0,-200.0,-200.0,-200.0
34.5,34.7,1.8667,989.0,798.0,840.0,1607.0,584.0,-200.0,-200.0,-200.0
30.8,43.1,1.8761,984.0,800.0,836.0,1607.0,610.0,-200.0,-200.0,-200.0
26.0,45.0,1.4913,895.0,783.0,863.0,1502.0,575.0,-200.0,-200.0,-200.0
24.5,40.6,1.2327,826.0,682.0,1088.0,1342.0,532.0,-200.0,-200.0,-200.0
28.5,29.4,1.1298,830.0,696.0,1060.0,1328.0,461.0,-200.0,-200.0,-200.0
25.2,47.4,1.4978,924.0,814.0,830.0,1519.0,798.0,-200.0,-200.0,-200.0
25.7,38.5,1.2548,922.0,818.0,826.0,1454.0,848.0,-200.0,-200.0,-200.0
23.6,45.4,1.3067,932.0,820.0,817.0,1462.0,921.0,-200.0,-200.0,-200.0
21.6,51.6,1.3171,812.0,675.0,995.0,1348.0,661.0,-200.0,-200.0,-200.0
21.2,53.3,1.328,773.0,613.0,1065.0,1321.0,597.0,-200.0,-200.0,-200.0
27.0,30.7,1.079,928.0,837.0,808.0,1410.0,871.0,62.0,80.0,1.4
20.2,47.1,1.1021,786.0,642.0,1057.0,1270.0,592.0,39.0,48.0,0.7
34.6,18.2,0.9832,923.0,862.0,875.0,1363.0,626.0,92.0,107.0,1.3
23.6,54.2,1.5583,994.0,829.0,784.0,1581.0,982.0,108.0,78.0,1.1
28.1,47.4,1.7753,1252.0,1168.0,557.0,1938.0,1352.0,193.0,107.0,2.9
32.5,34.1,1.6453,965.0,802.0,821.0,1504.0,564.0,51.0,54.0,1.3
-200.0,,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,58.0,60.0,1.0
-200.0,,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,129.0,99.0,2.2
-200.0,,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,81.0,71.0,1.3
,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,114.0,104.0,2.0
,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,85.0,89.0,1.5
19.8,59.3,1.3505,835.0,699.0,912.0,1361.0,796.0,-200.0,-200.0,0.6
34.3,24.5,1.3021,958.0,867.0,828.0,1468.0,660.0,30.0,37.0,1.2
26.0,47.6,1.5806,1059.0,914.0,697.0,1617.0,895.0,-200.0,-200.0,-200.0
21.3,64.1,1.6043,870.0,637.0,947.0,1445.0,716.0,-200.0,-200.0,-200.0
25.1,51.8,1.6304,949.0,705.0,859.0,1460.0,691.0,-200.0,-200.0,-200.0
28.3,39.2,1.4826,1116.0,1044.0,613.0,1694.0,954.0,-200.0,-200.0,-200.0
22.9,59.4,1.6353,815.0,565.0,1127.0,1350.0,541.0,-200.0,-200.0,-200.0
23.8,56.5,1.64,1393.0,1567.0,416.0,2381.0,1562.0,-200.0,-200.0,-200.0
31.6,34.7,1.589,1084.0,980.0,679.0,1653.0,923.0,-200.0,-200.0,-200.0
32.3,30.2,1.4347,1132.0,1121.0,611.0,1757.0,906.0,-200.0,-200.0,-200.0
27.7,46.1,1.6852,1209.0,1182.0,546.0,1911.0,1255.0,-200.0,-200.0,-200.0
29.8,150.0,1.6029,1180.0,1157.0,568.0,1874.0,1202.0,-200.0,-200.0,-200.0
32.7,33.0,1.5987,1093.0,981.0,666.0,1676.0,733.0,166.0,82.0,2.0
25.7,48.7,1.5825,1095.0,1032.0,621.0,1730.0,984.0,187.0,98.0,2.1
25.2,50.1,1.58,1073.0,1009.0,639.0,1655.0,955.0,206.0,105.0,2.0
22.8,58.5,1.5992,953.0,858.0,742.0,1544.0,780.0,136.0,79.0,1.3
20.8,64.9,1.571,838.0,639.0,963.0,1391.0,596.0,72.0,48.0,0.5
19.7,66.8,1.5184,913.0,728.0,802.0,1418.0,887.0,121.0,63.0,0.6
33.3,24.4,1.232,1028.0,1060.0,686.0,1601.0,806.0,213.0,108.0,2.0
21.6,57.2,1.4607,1236.0,1297.0,542.0,1997.0,1321.0,93.0,27.0,2.9
25.2,47.9,1.5129,868.0,657.0,921.0,1356.0,764.0,-200.0,-200.0,-200.0
24.2,50.6,1.5011,850.0,632.0,954.0,1316.0,803.0,-200.0,-200.0,-200.0
36.4,23.6,1.4064,1113.0,1096.0,635.0,1636.0,1050.0,-200.0,-200.0,-200.0
38.8,17.6,1.1979,1130.0,1113.0,674.0,1623.0,1127.0,-200.0,-200.0,-200.0
26.0,45.3,1.4999,1197.0,1029.0,601.0,1628.0,1362.0,-200.0,-200.0,2.2
23.4,51.6,1.4639,1159.0,1016.0,595.0,1681.0,1260.0,-200.0,-200.0,1.9
25.4,38.6,1.2352,854.0,600.0,1102.0,1252.0,542.0,-200.0,-200.0,0.7
32.2,20.5,0.9699,810.0,597.0,1255.0,1106.0,361.0,-200.0,-200.0,0.6
24.8,40.1,1.2378,921.0,666.0,954.0,1288.0,480.0,-200.0,-200.0,1.0
29.2,28.6,1.1423,943.0,777.0,880.0,1333.0,632.0,-200.0,-200.0,1.3
24.0,43.7,1.2876,847.0,634.0,1012.0,1258.0,525.0,-200.0,-200.0,0.6
21.9,48.3,1.2522,856.0,687.0,955.0,1260.0,726.0,-200.0,-200.0,0.6
22.9,46.5,1.2861,882.0,711.0,936.0,1310.0,741.0,-200.0,-200.0,0.7
31.0,29.1,1.2885,1104.0,993.0,705.0,1539.0,1081.0,170.0,74.0,2.2
31.6,20.8,0.9562,919.0,862.0,851.0,1293.0,697.0,-200.0,-200.0,1.4
28.2,24.8,0.936,1254.0,1241.0,873.0,1463.0,1431.0,420.0,163.0,3.8
26.8,28.9,1.0019,1221.0,1174.0,874.0,1481.0,1413.0,344.0,155.0,2.8
25.4,30.5,0.9722,1100.0,999.0,984.0,1361.0,1145.0,251.0,131.0,2.0
23.2,30.5,0.8558,980.0,873.0,1088.0,1258.0,949.0,141.0,98.0,1.2
21.7,33.4,0.8545,813.0,631.0,1327.0,1108.0,710.0,91.0,65.0,0.4
21.0,35.6,0.8736,1289.0,1335.0,724.0,1681.0,1521.0,542.0,130.0,3.2
31.0,21.9,0.9708,1277.0,1292.0,800.0,1626.0,1481.0,590.0,171.0,3.1
29.3,30.7,1.229,1299.0,1197.0,763.0,1688.0,1606.0,407.0,165.0,3.6
23.7,39.1,1.1289,881.0,680.0,1175.0,1251.0,630.0,69.0,58.0,0.5
21.3,47.2,1.1825,1222.0,1083.0,729.0,1624.0,1273.0,-200.0,-200.0,-200.0
32.7,22.7,1.1044,1096.0,942.0,893.0,1366.0,826.0,-200.0,-200.0,-200.0
34.2,22.6,1.197,1145.0,971.0,883.0,1418.0,759.0,-200.0,-200.0,-200.0
19.5,72.0,1.6118,940.0,789.0,917.0,1473.0,914.0,-200.0,-200.0,-200.0
35.2,25.2,1.4111,1172.0,1145.0,735.0,1676.0,1049.0,275.0,128.0,2.3
21.3,59.4,1.4918,1087.0,964.0,774.0,1633.0,1103.0,-200.0,-200.0,-200.0
26.5,50.2,1.713,1409.0,1322.0,562.0,2004.0,1601.0,-200.0,-200.0,-200.0
32.3,35.9,1.7067,1228.0,1174.0,668.0,1788.0,1192.0,-200.0,-200.0,-200.0
20.3,77.2,1.8204,1071.0,842.0,873.0,1575.0,740.0,-200.0,-200.0,-200.0
20.6,76.2,1.8272,940.0,712.0,961.0,1499.0,848.0,-200.0,-200.0,-200.0
23.2,68.4,1.9243,1393.0,1340.0,529.0,2080.0,1500.0,-200.0,-200.0,-200.0
23.5,69.2,1.9776,1361.0,1324.0,540.0,2044.0,1549.0,-200.0,-200.0,-200.0
