sex,age,address,Medu,Fedu,studytime,failures,schoolsup,famsup,paid,higher,internet,goout,health,absences,at_risk
F,20,U,4,2,3,2,no,yes,yes,yes,yes,3,3,4.0,0
F,18,R,4,4,2,0,no,no,yes,yes,yes,3,2,,0
F,18,U,3,3,2,0,no,no,yes,yes,yes,3,1,0.0,0
F,17,R,3,1,2,0,no,yes,yes,yes,yes,4,1,17.0,0
M,18,U,4,4,2,0,no,no,yes,yes,yes,4,2,4.0,0
M,18,R,2,1,1,0,no,no,no,yes,yes,3,5,5.0,1
M,17,U,2,3,2,0,no,no,no,yes,yes,3,3,2.0,0
M,19,R,1,1,1,1,no,no,no,yes,no,2,5,0.0,1
M,18,R,4,2,1,1,no,no,yes,yes,no,3,3,14.0,1
F,18,R,2,2,3,0,no,no,yes,yes,no,3,4,2.0,0
F,18,R,4,4,1,0,no,yes,yes,yes,yes,3,5,7.0,1
F,19,R,2,3,3,1,no,no,no,yes,yes,2,5,0.0,1
F,18,U,3,1,2,0,no,yes,yes,yes,yes,4,1,0.0,1
F,18,U,1,1,2,1,no,no,no,yes,no,1,5,0.0,1
M,20,U,2,2,2,2,no,yes,yes,yes,no,4,4,11.0,1
M,17,U,3,1,1,0,no,no,no,yes,yes,5,2,3.0,0
M,21,R,1,1,1,3,no,no,no,yes,no,3,3,3.0,1
M,18,R,3,2,1,0,no,no,no,yes,yes,1,5,0.0,0
M,19,U,1,1,1,0,YES,no,no,yes,yes,3,5,5.0,1
F,15,U,2,3,1,0,no,yes,no,yes,no,1,5,0.0,1
M,18,U,3,3,2,1,no,yes,yes,yes,yes,4,4,13.0,1
F,17,U,1,1,3,1,no,yes,no,yes,no,4,5,0.0,1
F,17,R,2,1,2,0,no,yes,no,yes,yes,5,5,2.0,1
